"Date Display New","Total Wims Created","    Adhoc Wims","    Adhoc Wims (%)","    Cancelation Wims","    Cancelation Wims (%)","    Critical Wims","    Critical Wims (%)","    High Wims","    High Wims (%)","Total WIMS Resolved","    Adhoc Wims","    Adhoc Wims (%)","    Cancelation Wims","    Cancelation Wims (%)","    Critical Wims","    Critical Wims (%)","    High Wims","    High Wims (%)","Adhoc Wims : Adherence (%)","Overall Adhoc Wims : Adherence (%)","Cancelation Wims : Adherence (%)","Overall Cancelation Wims : Adherence (%)","Overall SLA %","SL Met : Critical Wims","    Adhoc Wims","    Cancelation Wims","SL Met : High Wims","    Adhoc Wims","    Cancelation Wims","Total Wims Autocancelled","Total WIMS Missed","Overall Wims AHT","    Adhoc Wims","    Cancelation Wims"
"2026, Wk13",849,215,0.25323910482921086,634,0.7467608951707891,569,0.6702002355712603,280,0.3297997644287397,836,206,0.24263839811542992,630,0.7420494699646644,559,0.6584216725559482,277,0.32626619552414604,0.07281553398058252,0.06976744186046512,0.4666666666666667,0.4637223974763407,0.9893992932862191,1.003577817531306,1.0194174757281553,1,1.0072202166064983,1.0194174757281553,1,0,13,3.9991,2.0808,4.6263
"2026, Wk14",987,212,0.21479229989868287,775,0.7852077001013171,583,0.5906788247213779,404,0.4093211752786221,982,210,0.2127659574468085,772,0.7821681864235056,580,0.5876393110435664,402,0.4072948328267477,0.10952380952380952,0.10849056603773585,0.49870466321243523,0.4967741935483871,0.9979736575481256,0.9982758620689656,0.9809523809523809,1.0021052631578948,1.0049751243781095,1.0095238095238095,1.0033670033670035,2,3,4.1152,1.9133,4.7141
"2026, Wk15",802,183,0.2281795511221945,619,0.7718204488778054,437,0.5448877805486284,365,0.4551122194513716,790,175,0.21820448877805487,615,0.7668329177057357,433,0.5399002493765586,357,0.4451371571072319,0.06285714285714286,0.060109289617486336,0.4032520325203252,0.40064620355411956,0.9912718204488778,0.9930715935334873,1.036144578313253,0.9828571428571429,1.0196078431372548,1.0543478260869565,1.0075471698113208,1,11,4.0027,1.5906,4.689
"2026, Wk16",810,162,0.2,648,0.8,510,0.6296296296296297,300,0.37037037037037035,804,158,0.19506172839506172,646,0.7975308641975308,507,0.6259259259259259,297,0.36666666666666664,0.0759493670886076,0.07407407407407407,0.38235294117647056,0.38117283950617287,0.9938271604938271,0.9980276134122288,1.0253164556962024,0.9929906542056075,1.0067340067340067,1.0253164556962024,1,0,6,4.3241,2.192,4.8456
"2026, Wk17",823,167,0.20291616038882138,656,0.7970838396111786,490,0.5953827460510328,333,0.4046172539489672,814,159,0.19319562575941676,655,0.795868772782503,489,0.5941676792223572,325,0.39489671931956255,0.05660377358490566,0.05389221556886228,0.45648854961832064,0.4557926829268293,0.9793438639125152,0.9775051124744376,0.9743589743589743,0.9781021897810219,1.0092307692307692,1.0864197530864197,0.9836065573770492,1,8,4.4456,2.1874,4.9938
"2026, Wk18",1117,205,0.18352730528200537,912,0.8164726947179947,640,0.5729632945389436,477,0.4270367054610564,1110,203,0.18173679498657117,907,0.8119964189794091,635,0.5684870188003581,475,0.4252461951656222,0.04433497536945813,0.04390243902439024,0.4829106945975744,0.48026315789473684,0.982094897045658,0.9795275590551181,0.9805825242718447,0.9793233082706767,1,1.01,0.9973333333333333,1,6,5.0272,2.0366,5.698
"2026, Wk19",920,169,0.18369565217391304,751,0.816304347826087,591,0.6423913043478261,329,0.3576086956521739,908,165,0.1793478260869565,743,0.8076086956521739,582,0.6326086956521739,326,0.35434782608695653,0.05454545454545454,0.05325443786982249,0.34993270524899056,0.34620505992010653,0.9858695652173913,0.993127147766323,1,0.992,1.0030674846625767,1.0120481927710843,1,3,9,4.4673,2.5787,4.8867
"2026, Wk20",996,121,0.1214859437751004,875,0.8785140562248996,587,0.5893574297188755,409,0.4106425702811245,972,114,0.1144578313253012,858,0.8614457831325302,578,0.5803212851405622,394,0.39558232931726905,0.07894736842105263,0.0743801652892562,0.4219114219114219,0.4137142857142857,0.963855421686747,0.9809688581314879,0.9811320754716981,0.9809523809523809,0.9974619289340102,1.0819672131147542,0.9819819819819819,0,24,4.9913,2.4406,5.3302
"2026, Wk21",981,139,0.14169215086646278,842,0.8583078491335372,641,0.6534148827726809,340,0.34658511722731905,972,135,0.13761467889908258,837,0.8532110091743119,638,0.6503567787971458,334,0.34046890927624873,0.05185185185185185,0.050359712230215826,0.3835125448028674,0.3812351543942993,0.9602446483180428,0.9670846394984326,0.9393939393939394,0.9702797202797203,0.9730538922155688,1,0.9660377358490566,1,8,5.7298,2.5381,6.2446
"2026, Wk22",946,148,0.15644820295983086,798,0.8435517970401691,612,0.6469344608879493,334,0.35306553911205074,928,133,0.14059196617336153,795,0.8403805496828752,601,0.635306553911205,327,0.3456659619450317,0.09022556390977443,0.08108108108108109,0.36855345911949683,0.36716791979949875,0.9778012684989429,0.9950083194675541,1.1147540983606556,0.9814814814814815,0.9969418960244648,1.0138888888888888,0.9921568627450981,3,15,4.9932,2.3468,5.4359
